175,0.003,0.0003,300,0.5,,,
212.5,0.0025,0.0002,225,0.3,,,
100,0.002,0.0001,225,0.7,,,
250,0.002,0.0001,150,0.6,,,
250,0.0025,0.0001,450,0.3,,,
100,0.0025,0.0004,450,0.4,,,
100,0.0035,0.0005,225,0.7,,,
137.5,0.002,0.0002,450,0.6,,,
175,0.003,0.0003,300,0.5,,,
137.5,0.0025,0.0004,150,0.6,,,
250,0.0035,0.0002,450,0.6,,,
100,0.002,0.0001,150,0.4,,,
250,0.004,0.0004,225,0.6,,,
100,0.002,0.0005,375,0.7,,,
100,0.004,0.0004,450,0.6,,,
212.5,0.0025,0.0001,375,0.7,,,
212.5,0.004,0.0001,225,0.6,,,
100,0.004,0.0004,150,0.4,,,
100,0.002,0.0001,375,0.3,,,
137.5,0.0025,0.0002,225,0.3,,,
137.5,0.004,0.0002,375,0.7,,,
175,0.003,0.0003,300,0.5,,,
100,0.004,0.0002,300,0.3,,,
212.5,0.0035903875,0.0005,375,0.7,,,
250,0.0035,0.0002,150,0.7,,,
250,0.0035,0.0004,375,0.3,,,
250,0.0025,0.0005,375,0.5,,,
250,0.002,0.0004,150,0.3,,,
212.5,0.002,0.0002,375,0.4,,,
137.5,0.0035,0.0005,375,0.3,,,
137.5,0.004,0.0001,450,0.4,,,
137.5,0.0035,0.0001,225,0.4,,,
212.5,0.004,0.0005,450,0.4,,,
100,0.0035,0.0001,450,0.6,,,
250,0.004,0.0002,150,0.4,,,
100,0.004,0.0002,150,0.6,,,
250,0.002,0.0004,450,0.7,,,
212.5,0.004,0.0001,375,0.3,,,
100,0.002,0.0005,225,0.4,,,
212.5,0.002,0.0004,450,0.3,,,
212.5,0.002,0.0005,225,0.7,,,
212.5,0.0035,0.0005,150,0.3,,,
